name,country,iata,icao,timezone_pytz,state
Ralph Wien Memorial Airport,United States,OTZ,PAOT,America/Anchorage,Alaska
Altoona Blair County Airport,United States,AOO,KAOO,America/New_York,Pennsylvania
Dyess Air Force Base,United States,DYS,KDYS,America/Chicago,Texas
South Arkansas Regional At Goodwin Field,United States,ELD,KELD,America/Chicago,Arkansas
La Guardia Airport,United States,LGA,KLGA,America/New_York,New York
Tallahassee Regional Airport,United States,TLH,KTLH,America/New_York,Florida
Dupage Airport,United States,DPA,KDPA,America/Chicago,Illinois
Waco Regional Airport,United States,ACT,KACT,America/Chicago,Texas
Augusta State Airport,United States,AUG,KAUG,America/New_York,Maine
Jacksonville Naval Air Station (Towers Field),United States,NIP,KNIP,America/New_York,Florida
McKellar-Sipes Regional Airport,United States,MKL,KMKL,America/Chicago,Tennessee
Molokai Airport,United States,MKK,PHMK,Pacific/Honolulu,Hawaii
Godman Army Air Field,United States,FTK,KFTK,America/New_York,Kentucky
San Angelo Regional Mathis Field,United States,SJT,KSJT,America/Chicago,Texas
Calexico International Airport,United States,CXL,KCXL,America/Los_Angeles,California
Chico Municipal Airport,United States,CIC,KCIC,America/Los_Angeles,California
Burlington International Airport,United States,BTV,KBTV,America/New_York,Vermont
Jacksonville International Airport,United States,JAX,KJAX,America/New_York,Florida
Durango La Plata County Airport,United States,DRO,KDRO,America/Denver,Colorado
Washington Dulles International Airport,United States,IAD,KIAD,America/New_York,Virginia
Easterwood Field,United States,CLL,KCLL,America/Chicago,Texas
Felts Field,United States,SFF,KSFF,America/Los_Angeles,Washington
General Mitchell International Airport,United States,MKE,KMKE,America/Chicago,Wisconsin
Abilene Regional Airport,United States,ABI,KABI,America/Chicago,Texas
Columbia Regional Airport,United States,COU,KCOU,America/Chicago,Missouri
Portland International Airport,United States,PDX,KPDX,America/Los_Angeles,Washington
Dade Collier Training and Transition Airport,United States,TNT,KTNT,America/New_York,Florida
Palm Beach International Airport,United States,PBI,KPBI,America/New_York,Florida
Fort Worth Meacham International Airport,United States,FTW,KFTW,America/Chicago,Texas
Ogdensburg International Airport,United States,OGS,KOGS,America/New_York,New York
Cape Cod Coast Guard Air Station,United States,FMH,KFMH,America/New_York,Massachusetts
Boeing Field King County International Airport,United States,BFI,KBFI,America/Los_Angeles,Washington
